Restaurantid,Hoursweekdays,Hourssaturday,Hourssunday,Parking,Payment,Cuisine,Latitude,Longitude,TheGeomMeter,Name,City,State,Country,Alcohol,SmokingArea,DressCode,Accessibility,Price,Rambience,Franchise,Area,OtherServices
135109,08:00-21:00;,08:00-21:00;,08:00-21:00;,none,cash,Italian,18.9217848,-99.2353499,0101000020957F0000A6BF695F136F5AC1DADF87B205564A41,Paniroles,Cuernavaca,Morelos,Mexico,wine_beer,not_permitted,informal,no_accessibility,medium,quiet,False,closed,internet
135106,18:00-23:30;,18:00-23:30;,18:00-21:00;,none,cash/mastercard_eurocard/visa,Mexican,22.1497088,-100.9760928,0101000020957F0000649D6F21634858C119AE9BF528A34B41,El Rincn De San Francisco,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,only_at_bar,informal,partially,medium,familiar,False,open,none
135104,00:00-23:30;,00:00-23:30;,00:00-23:30;,yes,cash/mastercard_eurocard/visa,Mexican,23.7529821,-99.1684341,0101000020957F00007CDF5EAFC58157C1645743B23E4F4941,Vips,Ciudad Victoria,Tamaulipas,Mexico,full_bar,not_permitted,informal,completely,medium,familiar,True,closed,variety
135088,09:00-16:00;,00:00-00:00;,00:00-00:00;,public,cash,Cafeteria,18.8760113,-99.2198896,0101000020957F0000E14AD4DBC7765AC1F7B33C85B1534A41,Cafeteria Cenidet,Cuernavaca,Morelos,Mexico,no_alcohol_served,not_permitted,informal,no_accessibility,low,quiet,False,closed,none
135086,08:00-23:00;,08:00-23:00;,08:00-23:00;,yes,cash/mastercard_eurocard/visa,Burgers/Fast_Food,22.141421,-101.013955,0101000020957F0000FA1A0E5A9B4858C17C884C4173AE4B41,Mcdonalds Parque Tangamanga,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,not_permitted,informal,no_accessibility,medium,familiar,True,closed,none
135085,00:00-00:00;,00:00-00:00;,00:00-00:00;,public,cash,Fast_Food,22.150802,-100.98268,0101000020957F00009F823DA6094858C18A2D4D37F9A44B41,Tortas Locas Hipocampo,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,not_permitted,informal,no_accessibility,medium,familiar,False,closed,none
135079,13:00-22:30;,13:30-22:30;,13:30-22:30;,none,american_express/cash,Chinese,22.156376,-100.998355,0101000020957F00009FF49E27C04658C1BA8689941CA94B41,Koye Sushi,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,high,familiar,False,closed,none
135075,00:00-23:30;,00:00-23:30;,00:00-23:30;,yes,cash,Seafood,22.139573,-100.991564,0101000020957F0000332AE8AF824958C15A4195A82CA84B41,Mariscos El Pescador,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
135074,07:00-23:30;,07:00-23:30;,07:00-23:30;,public,cash/mastercard_eurocard/visa,Contemporary,22.149689,-100.999525,0101000020957F0000CDA37BD8BD4758C1F4FBE3D2D7A94B41,Restaurante La Parroquia Potosina,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,section,informal,no_accessibility,high,familiar,False,closed,none
135073,09:30-23:30;,09:30-23:30;,00:00-00:00;,yes,cash/mastercard_eurocard/visa,Bar/Bar_Pub_Brewery,22.147175,-100.974269,0101000020957F0000D010A853D34858C116A1EA51CAA24B41,Restaurante Bar El Gallinero,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,section,informal,no_accessibility,high,familiar,False,closed,none
135072,13:00-23:00;,13:00-23:30;,13:00-22:00;,none,american_express/cash/mastercard_eurocard/visa,Japanese,22.149192,-101.002936,0101000020957F0000E7B79B1DB94758C1D29BC363D8AA4B41,Sushi Itto,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
135071,13:00-23:30;,13:00-23:30;,13:00-20:00;,yes,american_express/cash/mastercard_eurocard/visa,Bar/Bar_Pub_Brewery,22.126375,-100.910926,0101000020957F0000E3A742BFC14D58C1F4E529A7F3914B41,Restaurante La Cantina,San Luis Potosi,San Luis Potosi,Mexico,full_bar,section,informal,no_accessibility,medium,familiar,False,closed,none
135069,09:00-23:30;,09:00-23:30;,09:00-23:30;,yes,cash,Bar,22.140129,-100.944872,0101000020957F000038E5D546B74A58C18FD29AD0D29A4B41,Abondance Restaurante Bar,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,none,informal,no_accessibility,low,familiar,False,closed,none
135060,11:30-19:00;,11:30-19:00;,11:30-19:00;,none,cash,Seafood,22.156883,-100.978485,0101000020957F00004C95C918394758C17A5C44896AA34B41,Restaurante Marisco Sam,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
135059,12:00-23:30;,12:00-23:30;,12:00-23:30;,yes,cash,Bar,22.145108,-100.989547,0101000020957F000005810F19B84858C136805B2745A74B41,Restaurant Bar Hacienda Los Martinez,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,section,informal,no_accessibility,medium,familiar,False,closed,none
135058,13:00-23:00;,13:00-23:00;,13:00-23:00;,public,cash/mastercard_eurocard/visa,Pizzeria,22.165587,-101.001273,0101000020957F0000EB71019D424558C15CC5404365A94B41,Restaurante Tiberius,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,True,closed,none
135057,13:00-23:00;,13:00-23:00;,13:00-23:00;,yes,american_express/cash/mastercard_eurocard/visa,Bar,22.145992,-100.955118,0101000020957F000095669021894958C182C9C10E669D4B41,El Herradero Restaurante And Bar,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,section,informal,no_accessibility,medium,familiar,False,closed,none
135055,14:00-22:00;,14:00-22:00;,14:00-20:30;,yes,american_express/cash/mastercard_eurocard/visa,Mexican,22.148854,-101.008472,0101000020957F00006610DA0F9F4758C12ED00BA771AC4B41,La Cochinita Pibil Restaurante Yucateco,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,section,informal,no_accessibility,high,familiar,False,closed,none
135054,07:00-19:00;,07:00-19:00;,07:00-19:00;,yes,cash/mastercard_eurocard/visa,Seafood,22.140626,-100.915657,0101000020957F000011E92CCE714B58C19BF8C0CA75924B41,Restaurante Y Pescaderia Tampico,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,high,familiar,False,closed,none
135053,11:00-22:00;,11:00-22:00;,11:00-22:00;,yes,american_express/cash/mastercard_eurocard/visa,Cafeteria/Fast_Food/Pizzeria,22.178931,-101.012861,0101000020957F0000B3C05AB5E54258C180F99573E7AB4B41,La Fontana Pizza Restaurante And Cafe,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,section,informal,no_accessibility,high,familiar,False,closed,none
135052,08:00-23:30;,08:00-23:30;,08:00-23:30;,none,cash/mastercard_eurocard/visa,Bar/Bar_Pub_Brewery,22.150981,-100.977412,0101000020957F0000B72147F1274858C189A406ED75A34B41,La Cantina Restaurante,San Luis Potosi,San Luis Potosi,Mexico,full_bar,none,informal,no_accessibility,high,familiar,False,closed,none
135049,12:00-20:00;,12:00-20:00;,12:00-20:00;,none,cash,Seafood,22.135011,-101.0286,0101000020957F00005DAD35642E4958C11BBCDE4A02B34B41,Restaurante De Mariscos La Langosta,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
135048,11:00-22:30;,11:00-22:30;,11:00-22:30;,yes,american_express/cash/mastercard_eurocard/visa,Bar,22.142017,-100.999246,0101000020957F00008032636EEC4858C16CDF265038AA4B41,Restaurante Bar Fu-Hao,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,none,informal,no_accessibility,high,familiar,False,closed,none
135046,08:30-21:00;,08:30-21:00;,08:30-21:00;,yes,cash/mastercard_eurocard/visa,Fast_Food,22.141282,-101.002958,0101000020957F000011DFB4E3EE4858C13F78758452AB4B41,Restaurante El Reyecito,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
135044,13:00-22:30;,13:00-22:30;,13:00-22:30;,none,cash,Chinese,22.141848,-100.997475,0101000020957F0000C8B62F9EFF4858C14FA6C296B9A94B41,Restaurant Wu Zhuo Yi,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
135043,00:00-00:00;,00:00-00:00;,00:00-00:00;,none,cash,Fast_Food/Pizzeria,22.185756,-100.944518,0101000020957F00006B9D7207BE4358C12419118D05984B41,Pizza Clasica,Soledad,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
135042,11:00-21:30;,11:00-21:30;,11:00-21:30;,none,cash,Chinese,22.159357,-100.973411,0101000020957F0000C66BB014FC4658C17CFE8D93D2A14B41,Restaurant Oriental Express,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
135041,00:00-00:00;,00:00-00:00;,00:00-00:00;,none,cash,Bar/Cafeteria,22.15106,-100.977659,0101000020957F0000D2002719234858C1CC7A9FC186A34B41,Luna Cafe,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,none,informal,no_accessibility,medium,familiar,False,closed,none
135039,10:00-20:00;,10:00-20:00;,10:00-20:00;,yes,cash,Seafood,22.145893,-100.97487,0101000020957F000040D5CE4E014958C177DC62AE09A34B41,Restaurant De Mariscos De Picon,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,section,informal,no_accessibility,low,familiar,False,closed,none
135035,13:30-23:30;,13:30-23:30;,13:30-18:30;,yes,american_express/cash/mastercard_eurocard/visa,Italian,22.145813,-101.018032,0101000020957F00004DDB874CD24758C1F29E91E259AF4B41,El Mundo De La Pasta,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,section,informal,no_accessibility,high,familiar,False,closed,none
