Userid,Latitude,Longitude,Smoker,DrinkLevel,DressPreference,Ambience,Transport,MaritalStatus,Children,BirthYear,Interest,Personality,Religion,Activity,Color,Weight,Budget,Height,CuisinePreferences,PaymentMethods
u1001,22.139997,-100.978803,false,abstemious,informal,family,on foot,single,independent,1989,variety,thrifty_protector,none,student,black,69,medium,1.77,american,cash
u1002,22.150087,-100.983325,false,abstemious,informal,family,public,single,independent,1990,technology,hunter_ostentatious,catholic,student,red,40,low,1.87,mexican,cash
u1003,22.119847,-100.946527,false,social drinker,formal,family,public,single,independent,1989,none,hard_worker,catholic,student,blue,60,low,1.69,mexican,cash
u1004,18.867,-99.183,false,abstemious,informal,family,public,single,independent,1940,variety,hard_worker,none,professional,green,44,medium,1.53,bagels/bakery/breakfast_brunch/cafe_coffee_shop/cafeteria/contemporary/continental_european/japanese/mexican,bank_debit_cards/cash
u1005,22.183477,-100.959891,false,abstemious,no preference,family,public,single,independent,1992,none,thrifty_protector,catholic,student,black,65,medium,1.69,american,cash
u1006,22.15,-100.983,true,social drinker,no preference,friends,car owner,single,independent,1989,variety,hard_worker,none,student,blue,75,medium,1.8,mexican,cash
u1007,22.118464,-100.938256,false,casual drinker,informal,solitary,public,single,independent,1989,variety,thrifty_protector,catholic,student,purple,60,low,1.59,family,cash
u1008,22.122989,-100.923811,false,social drinker,formal,solitary,public,single,independent,1989,technology,hard_worker,catholic,student,green,68,low,1.72,american/cafe_coffee_shop/cafeteria/hawaiian/hot_dogs/italian/juice/korean/latin_american/mexican,cash
u1009,22.159427,-100.990448,false,abstemious,formal,family,on foot,single,kids,1991,variety,thrifty_protector,catholic,student,green,75,medium,1.78,cafe_coffee_shop/cafeteria/deli_sandwiches/diner/family/fast_food/mexican,cash
u1010,22.190889,-100.998669,false,social drinker,no preference,friends,car owner,married,kids,1987,technology,hard_worker,none,student,green,40,medium,1.67,mexican,cash
u1011,23.724972,-99.152856,false,abstemious,no preference,family,public,single,independent,1989,variety,hard_worker,catholic,student,purple,68,medium,1.78,mexican,cash
u1012,18.813348,-99.243697,false,casual drinker,formal,family,public,single,independent,1988,technology,hard_worker,catholic,student,red,98,medium,1.84,latin_american,bank_debit_cards/cash
u1013,22.174624,-100.993873,false,abstemious,no preference,friends,public,widow,independent,1982,retro,thrifty_protector,none,professional,blue,80,medium,1.75,japanese,mastercard_eurocard/cash
u1014,23.751607,-99.170108,false,abstemious,no preference,friends,public,single,independent,1990,none,hard_worker,catholic,student,blue,53,medium,1.69,fast_food/japanese,cash
u1015,22.12676,-100.905209,true,social drinker,informal,family,public,single,independent,1989,technology,thrifty_protector,catholic,student,black,87,medium,1.67,mexican,cash
u1016,22.156247,-100.977402,false,casual drinker,informal,friends,on foot,single,independent,1991,eco_friendly,thrifty_protector,catholic,student,green,70,medium,1.67,american/barbecue/cafe_coffee_shop/contemporary/eastern_european/fusion/indian_pakistani/japanese/lebanese/moroccan/polish/polynesian/portuguese/regional,cash
